line_id,order_id,order_time,order_status,product_id,category,seller_id,customer_state,unit_price,freight_value,line_total,payment_type,installments,review_score,delivered_at,estimated_delivery,delivery_status
00b44ba3-01,00b44ba3d7c4a5e9a9ebafef9150781d,2018-08-28 21:10:46,delivered,d9a5a5120d4d357871acd5408cb10e18,fashion_bags_accessories,20d83f3ef0e6925fd74bfd59170babf7,SP,59.90,7.68,67.58,credit_card,1,5.0,2018-08-30 13:38:53,2018-09-26 00:00:00,on_time
b0abfb39-01,b0abfb398741998a8e47cc773b5e0edb,2018-08-28 11:26:02,delivered,5a168adb8f812ea06dbbfaaa3bae7986,fashion_bags_accessories,cab85505710c7cb9b720bceb52b01cee,SP,39.90,7.54,47.44,credit_card,1,4.0,2018-08-30 18:39:49,2018-09-03 00:00:00,on_time
5409cdf5-01,5409cdf5d7f44a620466f80570fade10,2018-08-24 16:22:53,delivered,9fe172fa8e662ca8572cf12abf8bce23,fashion_bags_accessories,cab85505710c7cb9b720bceb52b01cee,SP,49.90,7.61,57.51,credit_card,1,4.0,2018-08-29 19:19:33,2018-09-03 00:00:00,on_time
051fcda8-01,051fcda88d997d3ff86012da2a556342,2018-08-24 14:59:37,delivered,d017a2151d543a9885604dc62a3d9dcc,fashion_bags_accessories,6560211a19b47992c3666cc44a7e94c0,SP,49.00,7.60,56.60,credit_card,4,1.0,2018-08-29 17:38:25,2018-08-29 00:00:00,late
75a7d0a8-01,75a7d0a8a9a12e7b866362cb26d536be,2018-08-24 10:48:37,delivered,ba9e896256f52e536a611c56a4cae38e,fashion_bags_accessories,7b07b3c7487f0ea825fc6df75abd658b,ES,340.00,20.48,360.48,credit_card,9,1.0,2018-08-30 11:38:52,2018-09-18 00:00:00,on_time
e1f58ceb-01,e1f58cebd92cdac4b6f7f9a3814a0fb0,2018-08-23 14:59:37,delivered,4e46d4d7bdbc358eee60e44df825dd01,fashion_bags_accessories,b372ee768ed69e46ca8cdbd267aa7a38,SP,55.00,13.05,68.05,credit_card,2,4.0,2018-08-29 17:56:31,2018-09-03 00:00:00,on_time
9b0736df-01,9b0736df64a320c985e2aa02453ce16f,2018-08-23 11:37:30,delivered,af64874ef27a7dc357905b75ea78555a,fashion_bags_accessories,891071be6ba827b591264c90c2ae8a63,SP,79.99,8.72,88.71,boleto,1,5.0,2018-08-28 13:15:47,2018-08-28 00:00:00,late
bd6db30a-01,bd6db30a785b2562c0fdba187450a2db,2018-08-23 10:53:55,delivered,5d7c23067ed3fc8c6e699b9373d5890b,fashion_bags_accessories,6560211a19b47992c3666cc44a7e94c0,MG,59.00,18.51,77.51,credit_card,2,5.0,2018-08-29 18:27:41,2018-09-18 00:00:00,on_time
21799a54-01,21799a54bd487cd78f616aac588377de,2018-08-23 10:22:59,delivered,e98a500a671ec3eea9a498507b0154fa,fashion_bags_accessories,cab85505710c7cb9b720bceb52b01cee,SP,49.90,13.01,62.91,credit_card,2,4.0,2018-08-30 21:36:39,2018-09-06 00:00:00,on_time
3058f418-01,3058f418c175f89b5dc680bcb5634ab1,2018-08-22 18:03:39,delivered,d70c831282615555625658baeb52eaa6,fashion_bags_accessories,0ea22c1cfbdc755f86b9b54b39c16043,SP,34.90,1.30,36.20,credit_card,4,1.0,2018-08-28 09:52:09,2018-09-14 00:00:00,on_time
